"========== REGISTROS DEL Tue-Mar-25 =========="
"""20""","""    4     ""","""2025-05-10 19:17:07""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""21""","""    4     ""","""2025-05-10 19:25:31""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""22""","""    4     ""","""2025-05-10 19:27:09""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""23""","""    4     ""","""2025-05-10 19:28:39""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""24""","""    4     ""","""2025-05-11 17:50:27""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""25""","""    4     ""","""2025-05-11 17:51:15""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""26""","""    4     ""","""2025-05-11 17:53:58""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""27""","""    4     ""","""2025-05-11 17:57:24""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""28""","""    4     ""","""2025-05-11 17:57:56""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""29""","""    4     ""","""2025-05-11 17:58:33""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""30""","""    4     ""","""2025-05-11 18:09:36""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""31""","""    4     ""","""2025-05-11 18:14:08""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""32""","""    4     ""","""2025-05-11 18:14:59""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""33""","""    4     ""","""2025-05-11 18:15:46""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""34""","""    4     ""","""2025-05-11 18:17:09""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""35""","""    4     ""","""2025-05-12 19:04:47""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""36""","""    4     ""","""2025-05-12 21:25:12""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""37""","""    4     ""","""2025-05-12 21:45:36""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""38""","""    4     ""","""2025-05-14 20:53:04""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""39""","""    4     ""","""2025-05-15 23:57:59""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""40""","""    4     ""","""2025-05-16 00:49:17""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""41""","""    4     ""","""2025-05-17 00:12:33""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""42""","""    4     ""","""2025-05-18 16:05:16""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""43""","""    4     ""","""2025-05-18 19:43:53""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""44""","""    4     ""","""2025-05-18 20:59:21""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""45""","""    4     ""","""2025-05-18 22:13:44""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""46""","""    4     ""","""2025-05-18 23:32:11""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""47""","""    4     ""","""2025-05-19 12:14:06""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""48""","""    4     ""","""2025-05-19 13:21:37""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""49""","""    4     ""","""2025-05-19 17:31:00""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""50""","""    4     ""","""2025-05-19 17:51:15""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""51""","""    4     ""","""2025-05-19 17:55:06""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""52""","""    4     ""","""2025-05-19 21:01:22""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""53""","""    4     ""","""2025-05-19 22:09:07""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""54""","""    4     ""","""2025-05-20 14:06:19""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""55""","""    4     ""","""2025-05-20 15:48:56""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""56""","""    4     ""","""2025-05-20 16:56:00""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""57""","""    4     ""","""2025-05-20 17:56:35""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""58""","""    4     ""","""2025-05-20 21:05:38""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""59""","""    4     ""","""2025-05-20 22:54:02""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
"""60""","""    4     ""","""2025-05-21 01:16:52""","""Exitoso""","""172.18.0.1""","""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""","""   1    ""","""Login exitoso"""
